part_id,part_number,description,category,primary_supplier_id,alternate_supplier_id,unit_cost_usd,critical,replenish_days
PART-0001,SOC-01,Application processor v1,SOC,SUP-004,,18.09,yes,53
PART-0002,SOC-02,Application processor v2,SOC,SUP-012,SUP-016,28.13,yes,37
PART-0003,SOC-03,Application processor v3,SOC,SUP-022,SUP-002,43.77,yes,32
PART-0004,SOC-04,Application processor v4,SOC,SUP-011,SUP-024,32.31,yes,33
PART-0005,SOC-05,Application processor v5,SOC,SUP-004,SUP-006,36.09,yes,52
PART-0006,SOC-06,Application processor v6,SOC,SUP-001,SUP-006,36.05,yes,18
PART-0007,SOC-07,Application processor v7,SOC,SUP-003,SUP-040,16.45,yes,47
PART-0008,SOC-08,Application processor v8,SOC,SUP-004,,42.36,yes,55
PART-0009,MEM-01,LPDDR5 memory v1,MEM,SUP-024,SUP-029,19.21,yes,11
PART-0010,MEM-02,LPDDR5 memory v2,MEM,SUP-003,SUP-009,19.04,yes,16
PART-0011,MEM-03,LPDDR5 memory v3,MEM,SUP-008,SUP-033,20.09,yes,11
PART-0012,MEM-04,LPDDR5 memory v4,MEM,SUP-027,SUP-015,18.75,yes,33
PART-0013,MEM-05,LPDDR5 memory v5,MEM,SUP-033,SUP-028,14.34,yes,21
PART-0014,MEM-06,LPDDR5 memory v6,MEM,SUP-030,,11.7,yes,52
PART-0015,MEM-07,LPDDR5 memory v7,MEM,SUP-022,,16.12,yes,30
PART-0016,MEM-08,LPDDR5 memory v8,MEM,SUP-002,SUP-014,18.88,yes,46
PART-0017,PMIC-01,Power management IC v1,PMIC,SUP-008,SUP-032,1.57,yes,23
PART-0018,PMIC-02,Power management IC v2,PMIC,SUP-033,,4.75,yes,42
PART-0019,PMIC-03,Power management IC v3,PMIC,SUP-031,SUP-015,3.42,yes,47
PART-0020,PMIC-04,Power management IC v4,PMIC,SUP-008,SUP-011,3.57,yes,54
PART-0021,PMIC-05,Power management IC v5,PMIC,SUP-007,SUP-013,1.89,yes,34
PART-0022,PMIC-06,Power management IC v6,PMIC,SUP-040,,5.51,yes,36
PART-0023,PMIC-07,Power management IC v7,PMIC,SUP-023,SUP-016,4.75,yes,47
PART-0024,PMIC-08,Power management IC v8,PMIC,SUP-032,SUP-038,5.26,yes,56
PART-0025,DSP-01,Display panel v1,DSP,SUP-018,SUP-032,24.0,yes,20
PART-0026,DSP-02,Display panel v2,DSP,SUP-020,SUP-003,32.6,yes,31
PART-0027,DSP-03,Display panel v3,DSP,SUP-013,SUP-031,27.71,yes,21
PART-0028,DSP-04,Display panel v4,DSP,SUP-030,SUP-001,46.94,yes,47
PART-0029,DSP-05,Display panel v5,DSP,SUP-014,SUP-030,54.73,yes,60
PART-0030,DSP-06,Display panel v6,DSP,SUP-017,SUP-006,17.72,yes,46
PART-0031,DSP-07,Display panel v7,DSP,SUP-028,,57.66,yes,10
PART-0032,DSP-08,Display panel v8,DSP,SUP-015,SUP-018,17.0,yes,53
PART-0033,BAT-01,Li-ion battery pack v1,BAT,SUP-027,SUP-036,15.46,yes,53
PART-0034,BAT-02,Li-ion battery pack v2,BAT,SUP-002,SUP-016,10.84,yes,51
PART-0035,BAT-03,Li-ion battery pack v3,BAT,SUP-034,,4.34,yes,22
PART-0036,BAT-04,Li-ion battery pack v4,BAT,SUP-032,SUP-006,11.54,yes,16
PART-0037,BAT-05,Li-ion battery pack v5,BAT,SUP-002,SUP-016,8.5,yes,51
PART-0038,BAT-06,Li-ion battery pack v6,BAT,SUP-024,SUP-016,15.28,yes,19
PART-0039,BAT-07,Li-ion battery pack v7,BAT,SUP-008,,16.12,yes,17
PART-0040,BAT-08,Li-ion battery pack v8,BAT,SUP-034,SUP-039,11.1,yes,25
PART-0041,CAM-01,Camera module v1,CAM,SUP-009,SUP-011,19.0,no,33
PART-0042,CAM-02,Camera module v2,CAM,SUP-034,SUP-039,20.9,no,31
PART-0043,CAM-03,Camera module v3,CAM,SUP-002,SUP-007,6.94,no,17
PART-0044,CAM-04,Camera module v4,CAM,SUP-014,SUP-008,25.69,no,51
