product_id,part_id,qty_per_unit
PRD-100,PART-0115,1
PRD-100,PART-0081,4
PRD-100,PART-0010,1
PRD-100,PART-0034,4
PRD-100,PART-0041,2
PRD-100,PART-0055,2
PRD-100,PART-0062,1
PRD-100,PART-0079,1
PRD-100,PART-0005,4
PRD-110,PART-0086,2
PRD-110,PART-0068,1
PRD-110,PART-0105,1
PRD-110,PART-0028,4
PRD-110,PART-0113,1
PRD-110,PART-0040,2
PRD-110,PART-0021,1
PRD-110,PART-0048,1
PRD-110,PART-0061,1
PRD-110,PART-0054,2
PRD-110,PART-0077,2
PRD-200,PART-0058,2
PRD-200,PART-0065,1
PRD-200,PART-0053,1
PRD-200,PART-0088,4
PRD-200,PART-0023,1
PRD-200,PART-0078,2
PRD-200,PART-0026,1
PRD-200,PART-0090,2
PRD-200,PART-0046,2
PRD-200,PART-0098,1
PRD-210,PART-0052,1
PRD-210,PART-0068,4
PRD-210,PART-0086,1
PRD-210,PART-0008,2
PRD-210,PART-0058,1
PRD-210,PART-0015,2
PRD-300,PART-0045,2
PRD-300,PART-0062,2
PRD-300,PART-0105,1
PRD-300,PART-0081,1
PRD-300,PART-0116,1
PRD-300,PART-0099,1
PRD-300,PART-0022,1
PRD-300,PART-0096,2
PRD-300,PART-0078,2
PRD-300,PART-0051,2
PRD-310,PART-0019,1
PRD-310,PART-0069,1
PRD-310,PART-0048,1
PRD-310,PART-0029,1
PRD-310,PART-0083,2
PRD-310,PART-0103,2
PRD-400,PART-0048,4
PRD-400,PART-0108,1
PRD-400,PART-0054,2
PRD-400,PART-0066,2
PRD-400,PART-0074,1
PRD-400,PART-0038,1
PRD-400,PART-0020,2
PRD-500,PART-0029,4
PRD-500,PART-0115,4
PRD-500,PART-0092,1
PRD-500,PART-0062,1
PRD-500,PART-0044,1
PRD-500,PART-0073,2
PRD-600,PART-0008,1
PRD-600,PART-0077,2
PRD-600,PART-0111,1
PRD-600,PART-0090,1
PRD-600,PART-0081,4
PRD-600,PART-0069,2
PRD-600,PART-0022,4
PRD-600,PART-0099,1
PRD-700,PART-0041,1
PRD-700,PART-0005,4
PRD-700,PART-0119,1
PRD-700,PART-0063,2
PRD-700,PART-0038,2
PRD-700,PART-0105,1
PRD-800,PART-0015,1
PRD-800,PART-0112,1
PRD-800,PART-0055,2
PRD-800,PART-0080,4
PRD-800,PART-0081,4
PRD-800,PART-0064,1
PRD-900,PART-0107,1
PRD-900,PART-0022,1
PRD-900,PART-0096,4
PRD-900,PART-0044,1
PRD-900,PART-0104,1
PRD-900,PART-0088,4
PRD-900,PART-0025,2
PRD-900,PART-0067,1
PRD-900,PART-0033,2
PRD-900,PART-0055,2
