po_id,part_id,supplier_id,units,value_usd,due_date,status
PO-00001,PART-0097,SUP-036,52905,142314.45,2026-07-13,open
PO-00002,PART-0037,SUP-002,51428,437138.0,2026-07-06,open
PO-00003,PART-0064,SUP-004,59270,46230.6,2026-08-04,partially_received
PO-00004,PART-0038,SUP-024,67019,1024050.32,2026-09-03,open
PO-00005,PART-0095,SUP-003,26323,44749.1,2026-08-20,partially_received
PO-00006,PART-0052,SUP-002,26249,87671.66,2026-08-18,open
PO-00007,PART-0055,SUP-010,20262,151965.0,2026-07-04,partially_received
PO-00008,PART-0100,SUP-007,67649,64266.55,2026-08-03,open
PO-00009,PART-0004,SUP-011,36533,1180381.23,2026-06-23,open
PO-00010,PART-0039,SUP-008,28839,464884.68,2026-08-12,open
PO-00011,PART-0021,SUP-007,26473,50033.97,2026-07-20,open
PO-00012,PART-0036,SUP-032,41155,474928.7,2026-06-29,open
PO-00013,PART-0016,SUP-002,18852,355925.76,2026-08-19,partially_received
PO-00014,PART-0028,SUP-030,54608,2563299.52,2026-08-15,open
PO-00015,PART-0073,SUP-037,43459,490652.11,2026-06-28,partially_received
PO-00016,PART-0074,SUP-029,15377,51205.41,2026-07-07,partially_received
PO-00017,PART-0070,SUP-001,28920,216032.4,2026-07-05,open
PO-00018,PART-0005,SUP-004,67636,2440983.24,2026-08-10,open
PO-00019,PART-0099,SUP-015,29006,32486.72,2026-07-16,open
PO-00020,PART-0007,SUP-003,37203,611989.35,2026-06-26,partially_received
PO-00021,PART-0112,SUP-039,61058,77543.66,2026-09-06,open
PO-00022,PART-0061,SUP-014,32894,46709.48,2026-06-16,open
PO-00023,PART-0098,SUP-035,11648,22946.56,2026-08-27,open
PO-00024,PART-0105,SUP-028,19807,22579.98,2026-07-27,open
PO-00025,PART-0009,SUP-024,2009,38592.89,2026-08-10,open
PO-00026,PART-0007,SUP-003,1709,28113.05,2026-07-22,open
PO-00027,PART-0099,SUP-015,48646,54483.52,2026-06-23,open
PO-00028,PART-0035,SUP-034,53913,233982.42,2026-06-21,open
PO-00029,PART-0063,SUP-040,43227,64408.23,2026-07-21,partially_received
PO-00030,PART-0088,SUP-003,46528,116785.28,2026-06-26,open
PO-00031,PART-0090,SUP-014,23298,27957.6,2026-07-29,open
PO-00032,PART-0064,SUP-004,29866,23295.48,2026-08-03,open
PO-00033,PART-0050,SUP-016,61741,196953.79,2026-07-18,open
PO-00034,PART-0061,SUP-014,56218,79829.56,2026-07-25,open
PO-00035,PART-0097,SUP-036,8470,22784.3,2026-07-02,open
PO-00036,PART-0081,SUP-036,44351,167203.27,2026-07-22,partially_received
PO-00037,PART-0066,SUP-031,49380,301218.0,2026-08-06,open
PO-00038,PART-0093,SUP-016,74232,79428.24,2026-06-17,open
PO-00039,PART-0065,SUP-015,32189,112339.61,2026-06-24,open
PO-00040,PART-0110,SUP-020,45501,30030.66,2026-08-09,open
PO-00041,PART-0037,SUP-002,78314,665669.0,2026-07-31,open
PO-00042,PART-0065,SUP-015,11255,39279.95,2026-08-12,partially_received
PO-00043,PART-0018,SUP-033,17379,82550.25,2026-08-24,open
PO-00044,PART-0043,SUP-002,50611,351240.34,2026-08-31,partially_received
PO-00045,PART-0009,SUP-024,68867,1322935.07,2026-06-17,open
PO-00046,PART-0081,SUP-036,8306,31313.62,2026-07-29,partially_received
PO-00047,PART-0117,SUP-002,50170,42142.8,2026-07-07,open
PO-00048,PART-0009,SUP-024,64855,1245864.55,2026-07-24,partially_received
PO-00049,PART-0073,SUP-037,46602,526136.58,2026-08-06,open
PO-00050,PART-0104,SUP-033,7329,14144.97,2026-07-24,open
PO-00051,PART-0060,SUP-030,67754,22358.82,2026-08-19,open
PO-00052,PART-0039,SUP-008,36162,582931.44,2026-07-26,open
PO-00053,PART-0106,SUP-012,72887,125365.64,2026-07-11,open
PO-00054,PART-0049,SUP-014,21512,134665.12,2026-07-30,open
PO-00055,PART-0029,SUP-014,75463,4130089.99,2026-08-14,partially_received
PO-00056,PART-0082,SUP-001,31378,88799.74,2026-08-22,partially_received
PO-00057,PART-0051,SUP-034,30954,182628.6,2026-07-31,partially_received
PO-00058,PART-0031,SUP-028,47624,2745999.84,2026-07-01,open
PO-00059,PART-0017,SUP-008,65896,103456.72,2026-06-20,open
PO-00060,PART-0025,SUP-018,16834,404016.0,2026-07-08,partially_received
PO-00061,PART-0087,SUP-024,52983,100667.7,2026-07-28,partially_received
PO-00062,PART-0092,SUP-039,75298,127253.62,2026-07-21,open
PO-00063,PART-0013,SUP-033,78694,1128471.96,2026-08-09,open
PO-00064,PART-0090,SUP-014,46124,55348.8,2026-06-22,open
PO-00065,PART-0117,SUP-002,12632,10610.88,2026-08-15,open
PO-00066,PART-0116,SUP-006,74425,43910.75,2026-09-06,open
PO-00067,PART-0058,SUP-031,65536,43253.76,2026-06-28,partially_received
PO-00068,PART-0049,SUP-014,3369,21089.94,2026-06-20,open
PO-00069,PART-0081,SUP-036,72287,272521.99,2026-07-01,open
PO-00070,PART-0119,SUP-018,8149,3911.52,2026-08-31,partially_received
PO-00071,PART-0109,SUP-019,25177,28450.01,2026-06-19,partially_received
PO-00072,PART-0084,SUP-022,16711,65841.34,2026-07-07,open
PO-00073,PART-0084,SUP-022,14609,57559.46,2026-07-19,open
PO-00074,PART-0092,SUP-039,41430,70016.7,2026-07-21,open
PO-00075,PART-0020,SUP-008,16013,57166.41,2026-09-07,open
PO-00076,PART-0096,SUP-012,41495,82990.0,2026-07-20,open
PO-00077,PART-0039,SUP-008,18121,292110.52,2026-07-17,open
PO-00078,PART-0045,SUP-005,45431,813669.21,2026-07-05,open
PO-00079,PART-0095,SUP-003,6825,11602.5,2026-07-27,open
PO-00080,PART-0028,SUP-030,74824,3512238.56,2026-06-30,open
PO-00081,PART-0075,SUP-017,31378,109195.44,2026-09-05,open
PO-00082,PART-0085,SUP-012,45204,121146.72,2026-08-13,open
PO-00083,PART-0082,SUP-001,3975,11249.25,2026-06-16,partially_received
PO-00084,PART-0074,SUP-029,67973,226350.09,2026-07-13,open
PO-00085,PART-0006,SUP-001,46993,1694097.65,2026-06-27,open
PO-00086,PART-0084,SUP-022,24140,95111.6,2026-09-01,open
PO-00087,PART-0013,SUP-033,45439,651595.26,2026-08-12,open
PO-00088,PART-0004,SUP-011,21715,701611.65,2026-08-26,open
PO-00089,PART-0032,SUP-015,36943,628031.0,2026-07-22,open
PO-00090,PART-0022,SUP-040,38662,213027.62,2026-06-18,open
PO-00091,PART-0088,SUP-003,13331,33460.81,2026-06-20,open
PO-00092,PART-0004,SUP-011,11485,371080.35,2026-07-20,open
PO-00093,PART-0036,SUP-032,52101,601245.54,2026-09-03,partially_received
PO-00094,PART-0076,SUP-011,28695,335157.6,2026-08-16,open
PO-00095,PART-0107,SUP-025,47721,42948.9,2026-07-19,open
PO-00096,PART-0005,SUP-004,54227,1957052.43,2026-07-01,open
PO-00097,PART-0120,SUP-035,11570,6826.3,2026-07-03,open
PO-00098,PART-0020,SUP-008,43200,154224.0,2026-06-22,open
PO-00099,PART-0029,SUP-014,68701,3760005.73,2026-07-20,open
