part_id,on_hand_units,daily_consumption_units,warehouse
PART-0001,15698,334,POL1
PART-0002,3366,187,VNM1
PART-0003,9555,245,MEX1
PART-0004,74562,2193,MEX1
PART-0005,22540,980,AUS1
PART-0006,61194,1302,MEX1
PART-0007,42688,1856,POL1
PART-0008,26404,574,AUS1
PART-0009,3856,241,MEX1
PART-0010,109772,2111,POL1
PART-0011,32384,1472,POL1
PART-0012,27132,1428,POL1
PART-0013,7685,265,MEX1
PART-0014,82944,1536,AUS1
PART-0015,20646,558,POL1
PART-0016,18918,1051,AUS1
PART-0017,17523,531,AUS1
PART-0018,72366,1723,POL1
PART-0019,26558,1897,VNM1
PART-0020,83260,1810,MEX1
PART-0021,34320,1320,MEX1
PART-0022,8250,1375,MEX1
PART-0023,49864,1084,MEX1
PART-0024,35862,834,VNM1
PART-0025,20055,573,MEX1
PART-0026,35292,2076,AUS1
PART-0027,23730,1130,POL1
PART-0028,88500,1770,MEX1
PART-0029,21996,1833,AUS1
PART-0030,8181,303,POL1
PART-0031,30051,567,POL1
PART-0032,46942,958,POL1
PART-0033,21912,1992,AUS1
PART-0034,30920,1546,MEX1
PART-0035,1410,141,VNM1
PART-0036,44247,1029,AUS1
PART-0037,11152,697,AUS1
PART-0038,5376,168,AUS1
PART-0039,4199,323,MEX1
PART-0040,29036,854,POL1
PART-0041,30780,1539,MEX1
PART-0042,36775,1471,AUS1
PART-0043,88150,2150,POL1
PART-0044,89670,2135,MEX1
PART-0045,49467,1499,POL1
PART-0046,44548,1591,POL1
PART-0047,52936,1018,AUS1
PART-0048,39312,936,POL1
PART-0049,49610,1210,VNM1
PART-0050,15720,786,MEX1
PART-0051,41307,843,POL1
PART-0052,71630,1885,AUS1
PART-0053,23348,449,VNM1
PART-0054,3663,407,AUS1
PART-0055,41992,1448,MEX1
PART-0056,22308,507,VNM1
PART-0057,5264,376,POL1
PART-0058,13620,908,POL1
PART-0059,67774,1442,AUS1
PART-0060,48840,1221,AUS1
PART-0061,16005,1455,AUS1
PART-0062,52972,1558,VNM1
PART-0063,5950,595,POL1
PART-0064,15444,351,MEX1
PART-0065,8470,770,VNM1
PART-0066,946,86,VNM1
PART-0067,51831,1329,AUS1
PART-0068,58758,1399,MEX1
PART-0069,16674,397,VNM1
PART-0070,18732,1561,VNM1
PART-0071,46176,1443,AUS1
PART-0072,6750,250,MEX1
PART-0073,35064,1461,AUS1
PART-0074,34870,634,VNM1
PART-0075,5145,105,POL1
PART-0076,18981,703,POL1
PART-0077,29457,1091,POL1
PART-0078,30114,1434,MEX1
PART-0079,22784,712,VNM1
PART-0080,21076,479,MEX1
PART-0081,39183,1059,POL1
PART-0082,43452,1278,MEX1
PART-0083,62920,1430,MEX1
PART-0084,19383,1491,AUS1
PART-0085,12000,500,POL1
PART-0086,14175,315,AUS1
PART-0087,42471,1573,VNM1
PART-0088,37950,1518,AUS1
PART-0089,36490,890,MEX1
PART-0090,13878,514,POL1
PART-0091,100597,2053,POL1
PART-0092,3535,505,AUS1
PART-0093,45240,1560,POL1
PART-0094,33872,2117,POL1
PART-0095,71712,1328,VNM1
PART-0096,30212,581,POL1
PART-0097,38612,788,MEX1
PART-0098,55000,1100,POL1
PART-0099,36448,1139,MEX1
PART-0100,22710,757,AUS1
PART-0101,18004,1286,VNM1
PART-0102,43290,1110,VNM1
PART-0103,59440,1486,VNM1
PART-0104,7072,442,POL1
PART-0105,49725,975,AUS1
PART-0106,28260,1884,AUS1
PART-0107,16488,1374,AUS1
PART-0108,70020,1556,MEX1
PART-0109,57420,1305,VNM1
PART-0110,36660,1222,MEX1
PART-0111,25920,720,VNM1
PART-0112,3332,238,MEX1
PART-0113,7722,594,POL1
PART-0114,31372,1012,AUS1
PART-0115,67060,1916,POL1
PART-0116,16448,1028,MEX1
PART-0117,10600,200,POL1
PART-0118,68810,1966,AUS1
PART-0119,11193,861,MEX1
PART-0120,15190,434,POL1
