shipment_id,part_id,supplier_id,origin_port,mode,etd,eta,units,status
SHP-00001,PART-0089,SUP-007,Santos,ocean,2026-06-04,2026-06-21,31085,in_transit
SHP-00002,PART-0103,SUP-035,Long Beach,ocean,2026-05-31,2026-07-23,34182,in_transit
SHP-00003,PART-0021,SUP-007,Santos,ocean,2026-06-06,2026-07-01,47099,in_transit
SHP-00004,PART-0099,SUP-015,Hamburg,ocean,2026-05-22,2026-06-19,19533,in_transit
SHP-00005,PART-0042,SUP-034,Gdansk,ocean,2026-05-25,2026-06-22,25971,in_transit
SHP-00006,PART-0120,SUP-035,Long Beach,ocean,2026-05-30,2026-06-30,2625,in_transit
SHP-00007,PART-0061,SUP-014,Hamburg,air,2026-05-18,2026-07-08,30986,in_transit
SHP-00008,PART-0075,SUP-017,Port Klang,air,2026-05-16,2026-07-14,30652,in_transit
SHP-00009,PART-0026,SUP-020,Shanghai,ocean,2026-05-20,2026-06-20,6740,customs_hold
SHP-00010,PART-0090,SUP-014,Hamburg,ocean,2026-05-15,2026-07-02,23534,in_transit
SHP-00011,PART-0086,SUP-036,Hai Phong,ocean,2026-05-29,2026-07-11,1671,in_transit
SHP-00012,PART-0110,SUP-020,Shanghai,ocean,2026-06-05,2026-07-05,9846,in_transit
SHP-00013,PART-0040,SUP-034,Gdansk,air,2026-06-05,2026-07-14,555,customs_hold
SHP-00014,PART-0014,SUP-030,Busan,ocean,2026-05-28,2026-07-19,40890,customs_hold
SHP-00015,PART-0029,SUP-014,Hamburg,air,2026-06-06,2026-06-20,11368,customs_hold
SHP-00016,PART-0113,SUP-006,Hamburg,ocean,2026-05-12,2026-07-13,14611,customs_hold
SHP-00017,PART-0101,SUP-010,Laem Chabang,ocean,2026-05-13,2026-06-23,12222,in_transit
SHP-00018,PART-0031,SUP-028,Laem Chabang,ocean,2026-06-04,2026-06-21,33311,customs_hold
SHP-00019,PART-0002,SUP-012,Busan,air,2026-05-14,2026-07-15,27081,in_transit
SHP-00020,PART-0057,SUP-024,Kaohsiung,ocean,2026-05-31,2026-06-20,30684,in_transit
SHP-00021,PART-0065,SUP-015,Hamburg,ocean,2026-05-12,2026-06-18,46839,in_transit
